Zaman damgası,  Yaşınızı belirtiniz:  ,  Şu anki en yüksek eğitim durumunuz nedir?  ,  Hangi Yapay Zekâ araçlarının ismini duydunuz ve/veya kullandınız?  ,Yapay Zekâ araçlarını (hepsi dahil) ortalama ne sıklıkla kullanıyorsunuz? (Lütfen size en uygun olanı seçiniz.),"Yapay Zekâ araçlarından elde ettiğiniz çıktıların (cevap, metin, kod vb.) doğruluğuna ve güvenilirliğine ne kadar güveniyorsunuz? (1 = Hiç Güvenmiyorum, 5 = Tamamen Güveniyorum)",  Yapay Zekâ aracının ürettiği çıktıları kullanmadan önce daima (veya çoğunlukla) kontrol eder misiniz?  ,"Yapay Zekâ araçlarını etkin bir şekilde kullanmak için gereken teknik beceriye sahip olduğunuzu düşünüyor musunuz? (1 = Kesinlikle Katılmıyorum, 5 = Kesinlikle Katılıyorum.)",  Yapay zekâ araçlarını kullanmanızdaki temel motivasyonunuz aşağıdakilerden hangisidir?  ,"Önümüzdeki 6 ay içinde Yapay Zekâ araçlarını mesleki veya akademik çalışmalarınızda daha yoğun kullanma niyetiniz hangi düzeydedir? ( 1 = 
Kesinlikle Niyetim Yok , 5 =  Kesinlikle Yüksek Niyetim Var)"
21.12.2025 13:14:32,50,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google)",Haftada birkaç kez,3,"Hayır, genellikle kontrol etmem.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",5
21.12.2025 13:14:41,18,Ön Lisans,"ChatGPT (OpenAI), ",Hiç kullanmıyorum,5,"Hayır, genellikle kontrol etmem.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 13:14:51,57,Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Haftada birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 13:15:00,22,Ön Lisans,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Hiç kullanmıyorum,3,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",5
21.12.2025 13:16:00,54,Ön Lisans,"Gemini / Bard (Google), ",Çok nadiren (Ayda 1 kereden az),1,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",3
21.12.2025 13:16:12,41,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), ",Çok nadiren (Ayda 1 kereden az),2,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",4
21.12.2025 13:19:33,36,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), ",Haftada birkaç kez,4,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",2
21.12.2025 13:20:09,35,Ön Lisans,ChatGPT (OpenAI),Haftada birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 13:20:54,52,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Hiçbiri, ",Günlük (1 kez),3,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 13:21:09,18,Lisans,"Copilot (Microsoft), ",Ayda birkaç kez,3,"Evet, daima kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 13:21:17,56,Yüksek Lisans/Doktora,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Haftada birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 13:21:24,53,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Günlük (1 kez),5,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 13:21:33,48,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (Birden fazla kez),5,"Evet, daima kontrol ederim.",4,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 13:21:41,38,Lise veya altı,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, ",Hiç kullanmıyorum,5,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak",1
21.12.2025 13:21:46,41,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Hiçbiri",Günlük (1 kez),3,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak",4
21.12.2025 13:22:01,38,Yüksek Lisans/Doktora,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, ",Çok nadiren (Ayda 1 kereden az),2,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 13:23:09,30,Ön Lisans,"Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (1 kez),2,"Evet, daima kontrol ederim.",3,İş / Okul görevlerini tamamlamak,4
21.12.2025 13:23:17,43,Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (Birden fazla kez),4,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",5
21.12.2025 13:23:24,19,Lisans,Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler),Çok nadiren (Ayda 1 kereden az),4,"Hayır, genellikle kontrol etmem.",3,"Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",1
21.12.2025 13:23:31,22,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Haftada birkaç kez,5,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 13:41:19,37,Ön Lisans,"Copilot (Microsoft), ",Ayda birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",3,Yaratıcılığımı desteklemek / Yeni fikirler üretmek,3
21.12.2025 13:42:56,43,Lisans,"Gemini / Bard (Google), Copilot (Microsoft)",Haftada birkaç kez,4,"Hayır, sadece kritik durumlarda kontrol ederim.",1,Yaratıcılığımı desteklemek / Yeni fikirler üretmek,5
21.12.2025 13:44:28,36,Ön Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 47",Günlük (Birden fazla kez),2,"Hayır, genellikle kontrol etmem.",3,"Verimliliğimi artırmak / Zaman kazanmak, İş / Okul görevlerini tamamlamak",4
21.12.2025 13:44:53,25,Lise veya altı,"Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 25",Günlük (Birden fazla kez),3,"Evet, daima kontrol ederim.",4,"Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 13:45:02,40,Ön Lisans,"Gemini / Bard (Google), 54",Günlük (Birden fazla kez),4,"Hayır, genellikle kontrol etmem.",3,"Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",1
21.12.2025 13:45:07,51,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri",Günlük (1 kez),3,"Hayır, genellikle kontrol etmem.",3,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 13:45:33,45,Lisans,Gemini / Bard (Google),Haftada birkaç kez,3,"Hayır, genellikle kontrol etmem.",4,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",3
21.12.2025 13:45:38,26,Lisans,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 45",Günlük (1 kez),5,"Hayır, genellikle kontrol etmem.",3,İş / Okul görevlerini tamamlamak,1
21.12.2025 13:46:14,20,Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 54",Günlük (1 kez),3,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 13:47:37,44,Ön Lisans,"ChatGPT (OpenAI), Hiçbiri, 28",Ayda birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 13:47:53,47,Yüksek Lisans/Doktora,"Copilot (Microsoft), Hiçbiri, 23",Günlük (1 kez),2,"Evet, daima kontrol ederim.",2,Eğlence / Hobi amaçlı kullanmak,3
21.12.2025 13:48:16,28,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Günlük (1 kez),4,"Evet, daima kontrol ederim.",5,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği",5
21.12.2025 13:48:39,27,Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Haftada birkaç kez,3,"Hayır, genellikle kontrol etmem.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği",1
21.12.2025 13:48:50,34,Ön Lisans,"ChatGPT (OpenAI), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 37",Ayda birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",2,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 13:48:54,47,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), 37",Çok nadiren (Ayda 1 kereden az),4,"Hayır, genellikle kontrol etmem.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 13:49:29,25,Ön Lisans,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, ",Günlük (1 kez),1,"Hayır, genellikle kontrol etmem.",1,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",2
21.12.2025 13:49:50,38,Ön Lisans,"Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 54",Ayda birkaç kez,3,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",3
21.12.2025 13:53:05,28,Lise veya altı,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), 31",Çok nadiren (Ayda 1 kereden az),3,"Evet, daima kontrol ederim.",2,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 13:53:46,20,Ön Lisans,"ChatGPT (OpenAI), Hiçbiri, 25",Haftada birkaç kez,1,"Evet, daima kontrol ederim.",3,Eğlence / Hobi amaçlı kullanmak,4
21.12.2025 13:54:05,22,Ön Lisans,"GitHub Copilot / Diğer Kod Üretici YZ Araçları, 30",Haftada birkaç kez,1,"Evet, daima kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",5
21.12.2025 13:54:26,53,Ön Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 45",Haftada birkaç kez,5,"Hayır, genellikle kontrol etmem.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak",5
21.12.2025 13:56:11,21,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 52",Günlük (1 kez),5,"Evet, daima kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 13:56:20,25,Lisans,"Copilot (Microsoft), Hiçbiri, 51",Çok nadiren (Ayda 1 kereden az),3,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 13:56:33,24,Lise veya altı,"Gemini / Bard (Google), Copilot (Microsoft)",Haftada birkaç kez,5,"Evet, daima kontrol ederim.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 13:56:37,39,Ön Lisans,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 30",Çok nadiren (Ayda 1 kereden az),4,"Hayır, genellikle kontrol etmem.",4,İş / Okul görevlerini tamamlamak,1
21.12.2025 13:56:53,48,Lisans,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Çok nadiren (Ayda 1 kereden az),4,"Hayır, genellikle kontrol etmem.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak",5
21.12.2025 13:57:06,32,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Hiç kullanmıyorum,5,"Hayır, sadece kritik durumlarda kontrol ederim.",3,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",5
21.12.2025 13:57:23,30,Yüksek Lisans/Doktora,Copilot (Microsoft),Çok nadiren (Ayda 1 kereden az),2,"Evet, daima kontrol ederim.",2,Eğlence / Hobi amaçlı kullanmak,5
21.12.2025 13:57:46,31,Lise veya altı,"ChatGPT (OpenAI), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Çok nadiren (Ayda 1 kereden az),1,"Evet, daima kontrol ederim.",4,"Verimliliğimi artırmak / Zaman kazanmak, Merak / Teknolojiyi keşfetme isteği, İş / Okul görevlerini tamamlamak",4
21.12.2025 13:58:21,48,Yüksek Lisans/Doktora,"Copilot (Microsoft), ",Çok nadiren (Ayda 1 kereden az),2,"Evet, daima kontrol ederim.",2,"Verimliliğimi artırmak / Zaman kazanmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",5
21.12.2025 13:58:30,31,Lise veya altı,44,Haftada birkaç kez,3,"Evet, daima kontrol ederim.",1,Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak,2
21.12.2025 13:58:48,33,Yüksek Lisans/Doktora,35,Günlük (1 kez),5,"Evet, daima kontrol ederim.",1,Merak / Teknolojiyi keşfetme isteği,3
21.12.2025 13:59:49,26,Yüksek Lisans/Doktora,18,Günlük (1 kez),1,"Evet, daima kontrol ederim.",3,Yaratıcılığımı desteklemek / Yeni fikirler üretmek,2
21.12.2025 14:00:32,28,Yüksek Lisans/Doktora,36,Haftada birkaç kez,5,"Hayır, genellikle kontrol etmem.",5,Yaratıcılığımı desteklemek / Yeni fikirler üretmek,4
21.12.2025 14:00:39,29,Lisans,"ChatGPT (OpenAI), Copilot (Microsoft), Hiçbiri",Günlük (1 kez),2,"Hayır, genellikle kontrol etmem.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",4
21.12.2025 14:01:15,53,Yüksek Lisans/Doktora,Gemini / Bard (Google),Ayda birkaç kez,3,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",4
21.12.2025 14:01:22,52,Yüksek Lisans/Doktora,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları",Hiç kullanmıyorum,1,"Hayır, genellikle kontrol etmem.",3,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 14:02:09,41,Ön Lisans,"Gemini / Bard (Google), Hiçbiri, 24",Çok nadiren (Ayda 1 kereden az),1,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Eğlence / Hobi amaçlı kullanmak",3
21.12.2025 14:02:16,56,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler)",Günlük (1 kez),2,"Hayır, sadece kritik durumlarda kontrol ederim.",4,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 14:02:23,46,Yüksek Lisans/Doktora,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 58",Haftada birkaç kez,2,"Evet, daima kontrol ederim.",3,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 14:02:30,56,Yüksek Lisans/Doktora,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 60",Günlük (Birden fazla kez),3,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 14:02:38,47,Lisans,"Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), GitHub Copilot / Diğer Kod Üretici YZ Araçları, 57",Hiç kullanmıyorum,5,"Hayır, sadece kritik durumlarda kontrol ederim.",5,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak",4
21.12.2025 14:02:45,34,Yüksek Lisans/Doktora,"Gemini / Bard (Google), Copilot (Microsoft), GitHub Copilot / Diğer Kod Üretici YZ Araçları, Hiçbiri, 35",Günlük (1 kez),4,"Hayır, sadece kritik durumlarda kontrol ederim.",1,"Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",5
21.12.2025 14:02:52,52,Ön Lisans,"Copilot (Microsoft), Hiçbiri, 60",Çok nadiren (Ayda 1 kereden az),3,"Evet, daima kontrol ederim.",3,"Yaratıcılığımı desteklemek / Yeni fikirler üretmek, İş / Okul görevlerini tamamlamak, Eğlence / Hobi amaçlı kullanmak",1
21.12.2025 14:02:59,35,Yüksek Lisans/Doktora,"Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 20",Günlük (Birden fazla kez),5,"Hayır, genellikle kontrol etmem.",5,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek",3
21.12.2025 14:03:23,41,Lise veya altı,"Gemini / Bard (Google), Copilot (Microsoft), Hiçbiri, 31",Günlük (1 kez),5,"Hayır, genellikle kontrol etmem.",4,"Merak / Teknolojiyi keşfetme isteği, Yaratıcılığımı desteklemek / Yeni fikirler üretmek, Eğlence / Hobi amaçlı kullanmak",4
21.12.2025 14:03:42,41,Lise veya altı,"ChatGPT (OpenAI), Gemini / Bard (Google), Copilot (Microsoft), Midjourney / DALL-E / Stable Diffusion (Görsel Üreticiler), Hiçbiri, 29",Haftada birkaç kez,2,"Hayır, genellikle kontrol etmem.",5,"Verimliliğimi artırmak / Zaman kazanmak, Yeni şeyler öğrenmek / Bilgiye hızlı ulaşmak, İş / Okul görevlerini tamamlamak",5
